Easting,Northing,Elevation_DEM,Prediction_SE,longitude,latitude
277100,2110820,2.7765020634286057,2.021459655125472,72.88157441607694,19.078132589972977
277120,2110820,2.853665474087302,2.0357521467122623,72.88176439831665,19.07813477378602
277140,2110820,2.9377703765837606,2.051107776489618,72.88195438058226,19.078136957403533
277160,2110820,3.0283244242970153,2.067009701040497,72.88214436287379,19.078139140825517
277180,2110820,3.124614648100062,2.0827639060421275,72.88233434519123,19.078141324051973
277200,2110820,3.2257492114920963,2.097667560793972,72.88252432753457,19.078143507082903
277220,2110820,3.330697937223223,2.111157640263039,72.8827143099038,19.078145689918305
277240,2110820,3.438326786251939,2.1229289596976506,72.88290429229896,19.078147872558176
277260,2110820,3.547424952649422,2.133006156354127,72.88309427472002,19.078150055002528
277280,2110820,3.6567250543696885,2.1417566335809832,72.88328425716698,19.07815223725134
277300,2110820,3.7649175687690044,2.14983997299918,72.88347423963981,19.07815441930464
277320,2110820,3.870660661519287,2.1581007026857533,72.88366422213856,19.0781566011624
277340,2110820,3.9725862547505595,2.167422145120896,72.8838542046632,19.078158782824634
277360,2110820,4.0693028068757995,2.1785665151431277,72.8840441872137,19.07816096429134
277380,2110820,4.15939497324068,2.1920285886444058,72.88423416979012,19.078163145562517
277400,2110820,4.241420257032596,2.2079264335769495,72.8844241523924,19.078165326638164
277420,2110820,4.3139033897070105,2.2259439397921255,72.88461413502057,19.078167507518287
277440,2110820,4.375331627882953,2.2453294665803516,72.88480411767463,19.07816968820287
277460,2110820,4.424160746853282,2.2649481603871857,72.88499410035456,19.078171868691935
277480,2110820,4.458855480402734,2.283388232231363,72.88518408306038,19.07817404898547
277500,2110820,4.478008388822765,2.2991350828487422,72.88537406579205,19.07817622908347
277520,2110820,4.480584759571494,2.3108354789894126,72.8855640485496,19.078178408985952
277540,2110820,4.466270742556819,2.317633200377924,72.88575403133302,19.078180588692895
277560,2110820,4.43574812775487,2.319452015040519,72.8859440141423,19.078182768204307
277580,2110820,4.39067151350221,2.3170571407499074,72.88613399697745,19.078184947520192
277600,2110820,4.3333464005055875,2.3118721437316068,72.88632397983845,19.078187126640554
277620,2110820,4.2663332677945744,2.3056984860515515,72.88651396272533,19.078189305565374
277640,2110820,4.192159213632688,2.3004750972981496,72.88670394563805,19.078191484294674
277660,2110820,4.113163636925598,2.2981136606107584,72.88689392857663,19.078193662828436
277680,2110820,4.031430979502178,2.3003892454004045,72.88708391154105,19.078195841166675
276740,2110840,3.9502299130532084,1.9497874409507958,72.8781524394726,19.078273875492847
276760,2110840,3.632142836997307,1.7975222807452422,72.87834242145107,19.078276062847618
276780,2110840,3.3461837042977085,1.628301288562196,72.87853240345548,19.078278250006864
276800,2110840,3.1056921398251593,1.4869381767453933,72.87872238548586,19.078280436970584
276820,2110840,2.9103486978762856,1.415682706498499,72.87891236754218,19.078282623738776
276840,2110840,2.7599029999970015,1.406860676993733,72.87910234962445,19.078284810311445
276860,2110840,2.6506512078663524,1.44140139066259,72.87929233173267,19.078286996688583
276880,2110840,2.5773817868290547,1.5058976316860258,72.87948231386684,19.078289182870193
276900,2110840,2.5346623302236435,1.5887157416756454,72.87967229602694,19.078291368856274
276920,2110840,2.5168469078339823,1.6758610706647445,72.879862278213,19.07829355464683
276940,2110840,2.518079120433261,1.7538357603166679,72.88005226042499,19.078295740241852
276960,2110840,2.532779337586913,1.814718178830007,72.8802422426629,19.07829792564135
276980,2110840,2.556534961504198,1.857531612821784,72.88043222492675,19.07830011084532
277000,2110840,2.5867302609739653,1.8859532387531217,72.88062220721655,19.078302295853764
277020,2110840,2.6224773812816804,1.905283157929811,72.88081218953225,19.078304480666674
277040,2110840,2.6640491012360403,1.920365700714197,72.88100217187389,19.078306665284057
277060,2110840,2.7122249843963577,1.934674306815032,72.88119215424146,19.078308849705916
277080,2110840,2.767797360324711,1.950199367965539,72.88138213663495,19.078311033932245
277100,2110840,2.8312903059836123,1.9677154447701939,72.88157211905435,19.07831321796304
277120,2110840,2.90284925569928,1.9871330281640305,72.88176210149967,19.07831540179831
277140,2110840,2.9822376411795926,2.0078013137733266,72.88195208397092,19.078317585438047
277160,2110840,3.0688873320462053,2.028742160792339,72.88214206646806,19.07831976888226
277180,2110840,3.161967261070023,2.0488432335401012,72.88233204899112,19.078321952130942
277200,2110840,3.260450081860118,2.0670375979917583,72.88252203154009,19.07832413518409
277220,2110840,3.363167711699796,2.0824748090666523,72.88271201411497,19.078326318041718
277240,2110840,3.4688534352129134,2.0946666631910054,72.88290199671574,19.07832850070381
277260,2110840,3.576171848080627,2.1035808340829525,72.88309197934242,19.078330683170375
277280,2110840,3.683739310095309,2.109659511735024,72.88328196199498,19.078332865441407
277300,2110840,3.7901376429117506,2.113753898091187,72.88347194467346,19.07833504751691
277320,2110840,3.8939232775293107,2.116982913233233,72.88366192737783,19.07833722939688
277340,2110840,3.9936334516149965,2.1205403665222695,72.88385191010808,19.078339411081323
277360,2110840,4.087790667402,2.1254855070467937,72.88404189286423,19.078341592570236
277380,2110840,4.174906566389632,2.1325551955122584,72.88423187564626,19.07834377386362
277400,2110840,4.253486756870647,2.14203113901143,72.88442185845419,19.078345954961463
277420,2110840,4.3220392241990115,2.1536836659907195,72.88461184128798,19.078348135863788
277440,2110840,4.379091391597541,2.166797877689396,72.88480182414766,19.078350316570578
277460,2110840,4.423225474764068,2.1802743426579565,72.88499180703322,19.078352497081838
277480,2110840,4.453148177413977,2.192790010601803,72.88518178994464,19.078354677397563
277500,2110840,4.467814061588479,2.2030057719424163,72.88537177288195,19.078356857517758
277520,2110840,4.466608519576217,2.2098056292294967,72.88556175584513,19.078359037442425
277540,2110840,4.4495521304314005,2.2125344041329726,72.88575173883417,19.078361217171558
277560,2110840,4.417433122278109,2.211170847138302,72.8859417218491,19.07836339670516
277580,2110840,4.371777632118983,2.2063716568722285,72.88613170488986,19.07836557604323
277600,2110840,4.314658896307241,2.199376808642497,72.88632168795648,19.078367755185766
277620,2110840,4.248438617891374,2.1918313128459017,72.88651167104899,19.078369934132773
277640,2110840,4.175537194320687,2.185592085262638,72.88670165416733,19.078372112884242
277660,2110840,4.098273120477555,2.182559185417825,72.88689163731154,19.07837429144019
277680,2110840,4.018765642499469,2.184540716010279,72.8870816204816,19.0783764698006
277700,2110840,3.938879940969137,2.1931478721734727,72.8872716036775,19.07837864796548
277720,2110840,3.8601971333498746,2.2097153005898593,72.88746158689926,19.078380825934822
276720,2110860,4.542910929557941,1.923205029325442,72.87796015656474,19.07845231550605
276740,2110860,4.200150762852104,1.7521759390535565,72.87815013872286,19.078454503078618
276760,2110860,3.863577382550254,1.5831944095840473,72.87834012090694,19.078456690455656
276780,2110860,3.5529841896525736,1.4265438524613556,72.87853010311697,19.078458877637164
276800,2110860,3.286036212495358,1.3273660805417713,72.87872008535298,19.07846106462315
276820,2110860,3.0695494017875093,1.3041256112592174,72.87891006761492,19.078463251413602
276840,2110860,2.9052000153670825,1.322562200333228,72.87910004990283,19.078465438008525
276860,2110860,2.7861306574123956,1.3650479219300697,72.87929003221666,19.07846762440792
276880,2110860,2.705979011006271,1.4311626772415404,72.87948001455646,19.078469810611786
276900,2110860,2.6587959027302146,1.5187231671480017,72.87966999692219,19.078471996620117
276920,2110860,2.638224554892689,1.6130469873906275,72.87985997931386,19.07847418243292
276940,2110860,2.637122436031195,1.6953159822255963,72.88004996173147,19.078476368050197
276960,2110860,2.6482274000349877,1.7555073856697974,72.88023994417502,19.078478553471935
276980,2110860,2.666022589913163,1.7945300565562265,72.88042992664451,19.078480738698154
277000,2110860,2.687933475053884,1.8189898977101542,72.88061990913991,19.078482923728835
277020,2110860,2.713915538981915,1.836278068936876,72.88080989166126,19.07848510856399
277040,2110860,2.7452828575453343,1.8520678024995825,72.88099987420851,19.07848729320361
277060,2110860,2.783669469237145,1.8696899569969452,72.8811898567817,19.07848947764771
277080,2110860,2.830409805902778,1.8905042565589392,72.88137983938081,19.078491661896265
277100,2110860,2.88628043403099,1.9145467336924709,72.88156982200584,19.078493845949296
277120,2110860,2.9514663005059645,1.9410676606960697,72.8817598046568,19.078496029806793
277140,2110860,3.025637772885521,1.9688684016094056,72.88194978733365,19.078498213468766
277160,2110860,3.108065419663558,1.9965009798170563,72.88213977003645,19.0785003969352
277180,2110860,3.1977326042175087,2.022426379063021,72.88232975276513,19.078502580206106
277200,2110860,3.2934281024522596,2.0451915103529474,72.88251973551971,19.07850476328148
277220,2110860,3.3938141680542757,2.063630542691612,72.88270971830022,19.078506946161323
277240,2110860,3.4974724481249644,2.0770556951673274,72.88289970110661,19.078509128845635
277260,2110860,3.602933017447187,2.085388136698123,72.88308968393892,19.078511311334413
277280,2110860,3.70869210381848,2.0891892800493337,72.88327966679712,19.078513493627664
277300,2110860,3.8132230373656046,2.089576766782269,72.88346964968122,19.078515675725377
277320,2110860,3.9149835684735255,2.088036877775285,72.8836596325912,19.078517857627556
277340,2110860,4.012421656337223,2.086167944529473,72.8838496155271,19.078520039334208
277360,2110860,4.103981436974599,2.0854035163983107,72.88403959848887,19.07852222084533
277380,2110860,4.188111302390161,2.0867680820470045,72.88422958147653,19.078524402160912
277400,2110860,4.263276691311256,2.090711533620719,72.88441956449007,19.07852658328097
277420,2110860,4.327981211041928,2.0970519285104343,72.88460954752951,19.078528764205487
277440,2110860,4.380801108638758,2.1050328984014333,72.8847995305948,19.078530944934474
277460,2110860,4.42043972691653,2.113479011548932,72.884989513686,19.07853312546793
277480,2110860,4.44580921926516,2.12101671686904,72.88517949680305,19.07853530580585
277500,2110860,4.456143083323154,2.1263231658130852,72.88536947994598,19.07853748594824
277520,2110860,4.451130076486463,2.1283665414235298,72.88555946311479,19.078539665895097
277540,2110860,4.431037521855948,2.126603000036094,72.88574944630946,19.078541845646413
277560,2110860,4.396774060602275,2.121096743056558,72.88593942953,19.078544025202206
277580,2110860,4.349852398611441,2.112540446678494,72.8861294127764,19.078546204562457
277600,2110860,4.292255016237135,2.102178467126333,72.88631939604866,19.078548383727178
277620,2110860,4.226247661905439,2.0916620504939276,72.88650937934679,19.078550562696368
277640,2110860,4.1541941802210465,2.0828761555773827,72.88669936267077,19.07855274147002
277660,2110860,4.078405655348293,2.0777697433493003,72.88688934602061,19.07855492004814
277680,2110860,4.001031847093109,2.078207456755366,72.88707932939629,19.07855709843072
277700,2110860,3.9239885698703856,2.085850078523764,72.88726931279783,19.078559276617774
277720,2110860,3.848910969659295,2.1020655288795767,72.8874592962252,19.078561454609293
277740,2110860,3.777124278258574,2.127869036648232,72.88764927967844,19.078563632405274
276720,2110880,4.844243982633559,1.7776146781038513,72.87795785558339,19.078632943065752
276740,2110880,4.493161893611118,1.5873903321286227,72.87814783794715,19.078635130660583
276760,2110880,4.142734092680544,1.411545433666043,72.87833782033685,19.078637318059894
276780,2110880,3.809379735877557,1.2831912928985805,72.87852780275252,19.078639505263666
276800,2110880,3.5099189959854935,1.2451733485543102,72.87871778519414,19.07864169227191
